project_id,freelancer_id,project_category,preference_freelancer
1,1,Moba,2
14,1,Moba,2
21,1,Moba,2
31,1,Moba,2
53,1,Moba,2
59,1,Moba,2
67,1,Moba,2
76,1,Moba,2
81,1,Moba,2
82,1,Moba,2
117,1,Moba,2
120,1,Moba,2
130,1,Moba,2
144,1,Moba,2
151,1,Moba,2
156,1,Moba,2
174,1,Moba,2
176,1,Moba,2
181,1,Moba,2
207,1,Moba,2
209,1,Moba,2
230,1,Moba,2
231,1,Moba,2
246,1,Moba,2
266,1,Moba,2
282,1,Moba,2
296,1,Moba,2
302,1,Moba,2
304,1,Moba,2
306,1,Moba,2
310,1,Moba,2
315,1,Moba,2
322,1,Moba,2
328,1,Moba,2
336,1,Moba,2
351,1,Moba,2
364,1,Moba,2
383,1,Moba,2
404,1,Moba,2
407,1,Moba,2
415,1,Moba,2
424,1,Moba,2
440,1,Moba,2
443,1,Moba,2
462,1,Moba,2
464,1,Moba,2
465,1,Moba,2
468,1,Moba,2
469,1,Moba,2
476,1,Moba,2
491,1,Moba,2
493,1,Moba,2
497,1,Moba,2
498,1,Moba,2
525,1,Moba,2
538,1,Moba,2
540,1,Moba,2
570,1,Moba,2
594,1,Moba,2
599,1,Moba,2
602,1,Moba,2
606,1,Moba,2
617,1,Moba,2
635,1,Moba,2
8,1,RPG,5
15,1,RPG,5
37,1,RPG,5
39,1,RPG,5
68,1,RPG,5
77,1,RPG,5
78,1,RPG,5
80,1,RPG,5
93,1,RPG,5
112,1,RPG,5
113,1,RPG,5
121,1,RPG,5
124,1,RPG,5
128,1,RPG,5
140,1,RPG,5
159,1,RPG,5
196,1,RPG,5
206,1,RPG,5
210,1,RPG,5
217,1,RPG,5
218,1,RPG,5
224,1,RPG,5
232,1,RPG,5
238,1,RPG,5
242,1,RPG,5
253,1,RPG,5
257,1,RPG,5
267,1,RPG,5
270,1,RPG,5
287,1,RPG,5
318,1,RPG,5
319,1,RPG,5
332,1,RPG,5
338,1,RPG,5
344,1,RPG,5
361,1,RPG,5
386,1,RPG,5
394,1,RPG,5
398,1,RPG,5
423,1,RPG,5
431,1,RPG,5
432,1,RPG,5
438,1,RPG,5
450,1,RPG,5
451,1,RPG,5
466,1,RPG,5
470,1,RPG,5
483,1,RPG,5
484,1,RPG,5
487,1,RPG,5
509,1,RPG,5
511,1,RPG,5
535,1,RPG,5
545,1,RPG,5
551,1,RPG,5
553,1,RPG,5
567,1,RPG,5
571,1,RPG,5
574,1,RPG,5
587,1,RPG,5
595,1,RPG,5
601,1,RPG,5
614,1,RPG,5
620,1,RPG,5
4,1,Horor,3
19,1,Horor,3
28,1,Horor,3
29,1,Horor,3
48,1,Horor,3
69,1,Horor,3
75,1,Horor,3
79,1,Horor,3
85,1,Horor,3
86,1,Horor,3
95,1,Horor,3
104,1,Horor,3
122,1,Horor,3
132,1,Horor,3
134,1,Horor,3
155,1,Horor,3
165,1,Horor,3
172,1,Horor,3
182,1,Horor,3
189,1,Horor,3
192,1,Horor,3
214,1,Horor,3
216,1,Horor,3
226,1,Horor,3
236,1,Horor,3
248,1,Horor,3
285,1,Horor,3
290,1,Horor,3
301,1,Horor,3
308,1,Horor,3
312,1,Horor,3
313,1,Horor,3
346,1,Horor,3
355,1,Horor,3
356,1,Horor,3
358,1,Horor,3
360,1,Horor,3
366,1,Horor,3
372,1,Horor,3
373,1,Horor,3
388,1,Horor,3
420,1,Horor,3
426,1,Horor,3
444,1,Horor,3
452,1,Horor,3
454,1,Horor,3
478,1,Horor,3
488,1,Horor,3
495,1,Horor,3
500,1,Horor,3
501,1,Horor,3
506,1,Horor,3
510,1,Horor,3
532,1,Horor,3
533,1,Horor,3
539,1,Horor,3
546,1,Horor,3
557,1,Horor,3
583,1,Horor,3
608,1,Horor,3
619,1,Horor,3
624,1,Horor,3
633,1,Horor,3
636,1,Horor,3
10,1,OpenWorld,4
17,1,OpenWorld,4
30,1,OpenWorld,4
33,1,OpenWorld,4
42,1,OpenWorld,4
52,1,OpenWorld,4
64,1,OpenWorld,4
72,1,OpenWorld,4
101,1,OpenWorld,4
109,1,OpenWorld,4
135,1,OpenWorld,4
143,1,OpenWorld,4
146,1,OpenWorld,4
149,1,OpenWorld,4
158,1,OpenWorld,4
160,1,OpenWorld,4
162,1,OpenWorld,4
166,1,OpenWorld,4
168,1,OpenWorld,4
169,1,OpenWorld,4
170,1,OpenWorld,4
180,1,OpenWorld,4
184,1,OpenWorld,4
220,1,OpenWorld,4
223,1,OpenWorld,4
247,1,OpenWorld,4
258,1,OpenWorld,4
278,1,OpenWorld,4
291,1,OpenWorld,4
295,1,OpenWorld,4
314,1,OpenWorld,4
316,1,OpenWorld,4
321,1,OpenWorld,4
324,1,OpenWorld,4
325,1,OpenWorld,4
350,1,OpenWorld,4
353,1,OpenWorld,4
354,1,OpenWorld,4
359,1,OpenWorld,4
382,1,OpenWorld,4
412,1,OpenWorld,4
416,1,OpenWorld,4
418,1,OpenWorld,4
421,1,OpenWorld,4
422,1,OpenWorld,4
448,1,OpenWorld,4
475,1,OpenWorld,4
486,1,OpenWorld,4
489,1,OpenWorld,4
494,1,OpenWorld,4
503,1,OpenWorld,4
508,1,OpenWorld,4
512,1,OpenWorld,4
517,1,OpenWorld,4
519,1,OpenWorld,4
522,1,OpenWorld,4
529,1,OpenWorld,4
550,1,OpenWorld,4
572,1,OpenWorld,4
585,1,OpenWorld,4
607,1,OpenWorld,4
616,1,OpenWorld,4
626,1,OpenWorld,4
637,1,OpenWorld,4
2,1,Sports,2
7,1,Sports,2
12,1,Sports,2
20,1,Sports,2
24,1,Sports,2
27,1,Sports,2
34,1,Sports,2
40,1,Sports,2
41,1,Sports,2
44,1,Sports,2
49,1,Sports,2
50,1,Sports,2
60,1,Sports,2
62,1,Sports,2
63,1,Sports,2
71,1,Sports,2
88,1,Sports,2
91,1,Sports,2
92,1,Sports,2
98,1,Sports,2
100,1,Sports,2
106,1,Sports,2
110,1,Sports,2
116,1,Sports,2
127,1,Sports,2
136,1,Sports,2
137,1,Sports,2
139,1,Sports,2
142,1,Sports,2
145,1,Sports,2
150,1,Sports,2
154,1,Sports,2
161,1,Sports,2
163,1,Sports,2
171,1,Sports,2
187,1,Sports,2
191,1,Sports,2
194,1,Sports,2
200,1,Sports,2
201,1,Sports,2
202,1,Sports,2
212,1,Sports,2
215,1,Sports,2
219,1,Sports,2
222,1,Sports,2
229,1,Sports,2
237,1,Sports,2
240,1,Sports,2
243,1,Sports,2
250,1,Sports,2
252,1,Sports,2
256,1,Sports,2
259,1,Sports,2
262,1,Sports,2
264,1,Sports,2
271,1,Sports,2
272,1,Sports,2
275,1,Sports,2
277,1,Sports,2
283,1,Sports,2
297,1,Sports,2
305,1,Sports,2
309,1,Sports,2
311,1,Sports,2
327,1,Sports,2
331,1,Sports,2
342,1,Sports,2
348,1,Sports,2
362,1,Sports,2
384,1,Sports,2
392,1,Sports,2
400,1,Sports,2
403,1,Sports,2
405,1,Sports,2
417,1,Sports,2
429,1,Sports,2
442,1,Sports,2
445,1,Sports,2
447,1,Sports,2
449,1,Sports,2
456,1,Sports,2
457,1,Sports,2
458,1,Sports,2
467,1,Sports,2
473,1,Sports,2
474,1,Sports,2
477,1,Sports,2
481,1,Sports,2
485,1,Sports,2
502,1,Sports,2
507,1,Sports,2
520,1,Sports,2
521,1,Sports,2
523,1,Sports,2
527,1,Sports,2
536,1,Sports,2
537,1,Sports,2
542,1,Sports,2
544,1,Sports,2
552,1,Sports,2
555,1,Sports,2
556,1,Sports,2
558,1,Sports,2
561,1,Sports,2
563,1,Sports,2
564,1,Sports,2
569,1,Sports,2
573,1,Sports,2
575,1,Sports,2
576,1,Sports,2
578,1,Sports,2
582,1,Sports,2
584,1,Sports,2
586,1,Sports,2
588,1,Sports,2
590,1,Sports,2
592,1,Sports,2
593,1,Sports,2
597,1,Sports,2
598,1,Sports,2
618,1,Sports,2
622,1,Sports,2
623,1,Sports,2
627,1,Sports,2
630,1,Sports,2
631,1,Sports,2
632,1,Sports,2
639,1,Sports,2
9,1,Puzzle,2
11,1,Puzzle,2
25,1,Puzzle,2
38,1,Puzzle,2
47,1,Puzzle,2
56,1,Puzzle,2
58,1,Puzzle,2
73,1,Puzzle,2
87,1,Puzzle,2
99,1,Puzzle,2
125,1,Puzzle,2
129,1,Puzzle,2
131,1,Puzzle,2
138,1,Puzzle,2
141,1,Puzzle,2
148,1,Puzzle,2
164,1,Puzzle,2
175,1,Puzzle,2
177,1,Puzzle,2
178,1,Puzzle,2
179,1,Puzzle,2
227,1,Puzzle,2
235,1,Puzzle,2
263,1,Puzzle,2
269,1,Puzzle,2
280,1,Puzzle,2
284,1,Puzzle,2
288,1,Puzzle,2
289,1,Puzzle,2
300,1,Puzzle,2
303,1,Puzzle,2
307,1,Puzzle,2
339,1,Puzzle,2
357,1,Puzzle,2
365,1,Puzzle,2
369,1,Puzzle,2
370,1,Puzzle,2
371,1,Puzzle,2
377,1,Puzzle,2
379,1,Puzzle,2
387,1,Puzzle,2
390,1,Puzzle,2
397,1,Puzzle,2
402,1,Puzzle,2
410,1,Puzzle,2
419,1,Puzzle,2
435,1,Puzzle,2
439,1,Puzzle,2
446,1,Puzzle,2
455,1,Puzzle,2
459,1,Puzzle,2
461,1,Puzzle,2
463,1,Puzzle,2
479,1,Puzzle,2
482,1,Puzzle,2
515,1,Puzzle,2
526,1,Puzzle,2
534,1,Puzzle,2
541,1,Puzzle,2
554,1,Puzzle,2
560,1,Puzzle,2
562,1,Puzzle,2
612,1,Puzzle,2
628,1,Puzzle,2
3,1,FPS,2
16,1,FPS,2
23,1,FPS,2
32,1,FPS,2
43,1,FPS,2
54,1,FPS,2
66,1,FPS,2
74,1,FPS,2
83,1,FPS,2
84,1,FPS,2
97,1,FPS,2
107,1,FPS,2
115,1,FPS,2
126,1,FPS,2
133,1,FPS,2
153,1,FPS,2
173,1,FPS,2
185,1,FPS,2
195,1,FPS,2
198,1,FPS,2
203,1,FPS,2
204,1,FPS,2
208,1,FPS,2
211,1,FPS,2
213,1,FPS,2
225,1,FPS,2
249,1,FPS,2
251,1,FPS,2
255,1,FPS,2
260,1,FPS,2
276,1,FPS,2
317,1,FPS,2
330,1,FPS,2
333,1,FPS,2
335,1,FPS,2
337,1,FPS,2
341,1,FPS,2
345,1,FPS,2
349,1,FPS,2
368,1,FPS,2
380,1,FPS,2
381,1,FPS,2
385,1,FPS,2
393,1,FPS,2
396,1,FPS,2
408,1,FPS,2
425,1,FPS,2
427,1,FPS,2
434,1,FPS,2
436,1,FPS,2
437,1,FPS,2
453,1,FPS,2
480,1,FPS,2
490,1,FPS,2
499,1,FPS,2
516,1,FPS,2
531,1,FPS,2
543,1,FPS,2
547,1,FPS,2
579,1,FPS,2
580,1,FPS,2
589,1,FPS,2
591,1,FPS,2
638,1,FPS,2
6,1,BattleRoyal,2
