id_project,id_freelancer,game_type,preference_freelancer
1,1,Moba,2
14,1,Moba,2
21,1,Moba,2
31,1,Moba,2
53,1,Moba,2
59,1,Moba,2
67,1,Moba,2
76,1,Moba,2
81,1,Moba,2
82,1,Moba,2
117,1,Moba,2
120,1,Moba,2
130,1,Moba,2
144,1,Moba,2
151,1,Moba,2
156,1,Moba,2
174,1,Moba,2
176,1,Moba,2
181,1,Moba,2
207,1,Moba,2
209,1,Moba,2
230,1,Moba,2
231,1,Moba,2
246,1,Moba,2
266,1,Moba,2
282,1,Moba,2
296,1,Moba,2
302,1,Moba,2
304,1,Moba,2
306,1,Moba,2
310,1,Moba,2
315,1,Moba,2
322,1,Moba,2
328,1,Moba,2
336,1,Moba,2
351,1,Moba,2
364,1,Moba,2
383,1,Moba,2
404,1,Moba,2
407,1,Moba,2
415,1,Moba,2
424,1,Moba,2
440,1,Moba,2
443,1,Moba,2
462,1,Moba,2
464,1,Moba,2
465,1,Moba,2
468,1,Moba,2
469,1,Moba,2
476,1,Moba,2
491,1,Moba,2
493,1,Moba,2
497,1,Moba,2
498,1,Moba,2
525,1,Moba,2
538,1,Moba,2
540,1,Moba,2
570,1,Moba,2
594,1,Moba,2
599,1,Moba,2
602,1,Moba,2
606,1,Moba,2
617,1,Moba,2
635,1,Moba,2
642,1,Moba,2
663,1,Moba,2
664,1,Moba,2
668,1,Moba,2
676,1,Moba,2
682,1,Moba,2
688,1,Moba,2
694,1,Moba,2
706,1,Moba,2
722,1,Moba,2
748,1,Moba,2
755,1,Moba,2
793,1,Moba,2
803,1,Moba,2
814,1,Moba,2
818,1,Moba,2
825,1,Moba,2
832,1,Moba,2
849,1,Moba,2
850,1,Moba,2
855,1,Moba,2
866,1,Moba,2
869,1,Moba,2
875,1,Moba,2
893,1,Moba,2
903,1,Moba,2
931,1,Moba,2
940,1,Moba,2
955,1,Moba,2
956,1,Moba,2
958,1,Moba,2
975,1,Moba,2
983,1,Moba,2
988,1,Moba,2
989,1,Moba,2
992,1,Moba,2
1001,1,Moba,2
1006,1,Moba,2
1015,1,Moba,2
1016,1,Moba,2
1019,1,Moba,2
1026,1,Moba,2
1030,1,Moba,2
1042,1,Moba,2
1065,1,Moba,2
1082,1,Moba,2
1096,1,Moba,2
1101,1,Moba,2
1102,1,Moba,2
1119,1,Moba,2
1135,1,Moba,2
1167,1,Moba,2
1175,1,Moba,2
1183,1,Moba,2
1200,1,Moba,2
1204,1,Moba,2
1206,1,Moba,2
1208,1,Moba,2
1223,1,Moba,2
1235,1,Moba,2
1240,1,Moba,2
1248,1,Moba,2
1250,1,Moba,2
1275,1,Moba,2
8,1,RPG,5
15,1,RPG,5
37,1,RPG,5
39,1,RPG,5
68,1,RPG,5
77,1,RPG,5
78,1,RPG,5
80,1,RPG,5
93,1,RPG,5
112,1,RPG,5
113,1,RPG,5
121,1,RPG,5
124,1,RPG,5
128,1,RPG,5
140,1,RPG,5
159,1,RPG,5
196,1,RPG,5
206,1,RPG,5
210,1,RPG,5
217,1,RPG,5
218,1,RPG,5
224,1,RPG,5
232,1,RPG,5
238,1,RPG,5
242,1,RPG,5
253,1,RPG,5
257,1,RPG,5
267,1,RPG,5
270,1,RPG,5
287,1,RPG,5
318,1,RPG,5
319,1,RPG,5
332,1,RPG,5
338,1,RPG,5
344,1,RPG,5
361,1,RPG,5
386,1,RPG,5
394,1,RPG,5
398,1,RPG,5
423,1,RPG,5
431,1,RPG,5
432,1,RPG,5
438,1,RPG,5
450,1,RPG,5
451,1,RPG,5
466,1,RPG,5
470,1,RPG,5
483,1,RPG,5
484,1,RPG,5
487,1,RPG,5
509,1,RPG,5
511,1,RPG,5
535,1,RPG,5
545,1,RPG,5
551,1,RPG,5
553,1,RPG,5
567,1,RPG,5
571,1,RPG,5
574,1,RPG,5
587,1,RPG,5
595,1,RPG,5
601,1,RPG,5
614,1,RPG,5
620,1,RPG,5
641,1,RPG,5
647,1,RPG,5
652,1,RPG,5
673,1,RPG,5
681,1,RPG,5
686,1,RPG,5
725,1,RPG,5
735,1,RPG,5
744,1,RPG,5
761,1,RPG,5
762,1,RPG,5
763,1,RPG,5
766,1,RPG,5
776,1,RPG,5
788,1,RPG,5
797,1,RPG,5
802,1,RPG,5
813,1,RPG,5
816,1,RPG,5
826,1,RPG,5
830,1,RPG,5
841,1,RPG,5
851,1,RPG,5
854,1,RPG,5
898,1,RPG,5
902,1,RPG,5
904,1,RPG,5
913,1,RPG,5
957,1,RPG,5
986,1,RPG,5
987,1,RPG,5
996,1,RPG,5
1027,1,RPG,5
1028,1,RPG,5
1031,1,RPG,5
1035,1,RPG,5
1043,1,RPG,5
1044,1,RPG,5
1047,1,RPG,5
1062,1,RPG,5
1068,1,RPG,5
1092,1,RPG,5
1106,1,RPG,5
1111,1,RPG,5
1112,1,RPG,5
1127,1,RPG,5
1137,1,RPG,5
1149,1,RPG,5
1161,1,RPG,5
1162,1,RPG,5
1169,1,RPG,5
1171,1,RPG,5
1197,1,RPG,5
1203,1,RPG,5
1205,1,RPG,5
1211,1,RPG,5
1224,1,RPG,5
1226,1,RPG,5
1234,1,RPG,5
1245,1,RPG,5
1249,1,RPG,5
1253,1,RPG,5
1260,1,RPG,5
1263,1,RPG,5
4,1,Horor,3
19,1,Horor,3
28,1,Horor,3
29,1,Horor,3
48,1,Horor,3
69,1,Horor,3
75,1,Horor,3
79,1,Horor,3
85,1,Horor,3
86,1,Horor,3
95,1,Horor,3
104,1,Horor,3
122,1,Horor,3
132,1,Horor,3
134,1,Horor,3
155,1,Horor,3
165,1,Horor,3
172,1,Horor,3
182,1,Horor,3
189,1,Horor,3
192,1,Horor,3
214,1,Horor,3
216,1,Horor,3
226,1,Horor,3
236,1,Horor,3
248,1,Horor,3
285,1,Horor,3
290,1,Horor,3
301,1,Horor,3
308,1,Horor,3
312,1,Horor,3
313,1,Horor,3
346,1,Horor,3
355,1,Horor,3
356,1,Horor,3
358,1,Horor,3
360,1,Horor,3
366,1,Horor,3
372,1,Horor,3
373,1,Horor,3
388,1,Horor,3
420,1,Horor,3
426,1,Horor,3
444,1,Horor,3
452,1,Horor,3
454,1,Horor,3
478,1,Horor,3
488,1,Horor,3
495,1,Horor,3
500,1,Horor,3
501,1,Horor,3
506,1,Horor,3
510,1,Horor,3
532,1,Horor,3
533,1,Horor,3
539,1,Horor,3
546,1,Horor,3
557,1,Horor,3
583,1,Horor,3
608,1,Horor,3
619,1,Horor,3
624,1,Horor,3
633,1,Horor,3
636,1,Horor,3
646,1,Horor,3
656,1,Horor,3
672,1,Horor,3
683,1,Horor,3
684,1,Horor,3
696,1,Horor,3
710,1,Horor,3
733,1,Horor,3
742,1,Horor,3
752,1,Horor,3
764,1,Horor,3
774,1,Horor,3
805,1,Horor,3
820,1,Horor,3
822,1,Horor,3
834,1,Horor,3
835,1,Horor,3
836,1,Horor,3
843,1,Horor,3
853,1,Horor,3
856,1,Horor,3
864,1,Horor,3
867,1,Horor,3
868,1,Horor,3
871,1,Horor,3
876,1,Horor,3
882,1,Horor,3
886,1,Horor,3
891,1,Horor,3
896,1,Horor,3
900,1,Horor,3
909,1,Horor,3
927,1,Horor,3
934,1,Horor,3
942,1,Horor,3
951,1,Horor,3
954,1,Horor,3
960,1,Horor,3
968,1,Horor,3
970,1,Horor,3
978,1,Horor,3
995,1,Horor,3
1011,1,Horor,3
1013,1,Horor,3
1017,1,Horor,3
1045,1,Horor,3
1049,1,Horor,3
1063,1,Horor,3
1070,1,Horor,3
1090,1,Horor,3
1098,1,Horor,3
1100,1,Horor,3
1122,1,Horor,3
1126,1,Horor,3
1148,1,Horor,3
1155,1,Horor,3
1166,1,Horor,3
1177,1,Horor,3
1181,1,Horor,3
1233,1,Horor,3
1237,1,Horor,3
1259,1,Horor,3
1267,1,Horor,3
1273,1,Horor,3
10,1,Open World,4
17,1,Open World,4
30,1,Open World,4
33,1,Open World,4
42,1,Open World,4
52,1,Open World,4
64,1,Open World,4
72,1,Open World,4
101,1,Open World,4
109,1,Open World,4
135,1,Open World,4
143,1,Open World,4
146,1,Open World,4
149,1,Open World,4
158,1,Open World,4
160,1,Open World,4
162,1,Open World,4
166,1,Open World,4
168,1,Open World,4
169,1,Open World,4
170,1,Open World,4
180,1,Open World,4
184,1,Open World,4
220,1,Open World,4
223,1,Open World,4
247,1,Open World,4
258,1,Open World,4
278,1,Open World,4
291,1,Open World,4
295,1,Open World,4
314,1,Open World,4
316,1,Open World,4
321,1,Open World,4
324,1,Open World,4
325,1,Open World,4
350,1,Open World,4
353,1,Open World,4
354,1,Open World,4
359,1,Open World,4
382,1,Open World,4
412,1,Open World,4
416,1,Open World,4
418,1,Open World,4
421,1,Open World,4
422,1,Open World,4
448,1,Open World,4
475,1,Open World,4
486,1,Open World,4
489,1,Open World,4
494,1,Open World,4
503,1,Open World,4
508,1,Open World,4
512,1,Open World,4
517,1,Open World,4
519,1,Open World,4
522,1,Open World,4
529,1,Open World,4
550,1,Open World,4
572,1,Open World,4
585,1,Open World,4
607,1,Open World,4
616,1,Open World,4
626,1,Open World,4
637,1,Open World,4
651,1,Open World,4
675,1,Open World,4
689,1,Open World,4
695,1,Open World,4
701,1,Open World,4
702,1,Open World,4
719,1,Open World,4
726,1,Open World,4
728,1,Open World,4
738,1,Open World,4
753,1,Open World,4
757,1,Open World,4
765,1,Open World,4
777,1,Open World,4
783,1,Open World,4
786,1,Open World,4
790,1,Open World,4
801,1,Open World,4
823,1,Open World,4
828,1,Open World,4
829,1,Open World,4
833,1,Open World,4
847,1,Open World,4
863,1,Open World,4
881,1,Open World,4
889,1,Open World,4
894,1,Open World,4
919,1,Open World,4
928,1,Open World,4
930,1,Open World,4
943,1,Open World,4
946,1,Open World,4
966,1,Open World,4
969,1,Open World,4
971,1,Open World,4
972,1,Open World,4
976,1,Open World,4
977,1,Open World,4
985,1,Open World,4
998,1,Open World,4
1071,1,Open World,4
1077,1,Open World,4
1079,1,Open World,4
1080,1,Open World,4
1081,1,Open World,4
1091,1,Open World,4
1095,1,Open World,4
1103,1,Open World,4
1107,1,Open World,4
1109,1,Open World,4
1113,1,Open World,4
1114,1,Open World,4
1117,1,Open World,4
1132,1,Open World,4
1143,1,Open World,4
1157,1,Open World,4
1176,1,Open World,4
1178,1,Open World,4
1180,1,Open World,4
1213,1,Open World,4
1236,1,Open World,4
1251,1,Open World,4
1255,1,Open World,4
1276,1,Open World,4
2,1,Sports,2
7,1,Sports,2
12,1,Sports,2
20,1,Sports,2
24,1,Sports,2
27,1,Sports,2
34,1,Sports,2
40,1,Sports,2
41,1,Sports,2
44,1,Sports,2
49,1,Sports,2
50,1,Sports,2
60,1,Sports,2
62,1,Sports,2
63,1,Sports,2
71,1,Sports,2
88,1,Sports,2
91,1,Sports,2
92,1,Sports,2
98,1,Sports,2
100,1,Sports,2
106,1,Sports,2
110,1,Sports,2
116,1,Sports,2
