id_project,id_customer,id_freelancer,rating_for_freelancer
1,1,2,2
1,2,3,2
1,3,4,2
1,4,5,2
1,5,6,2
1,6,7,2
1,7,8,2
1,8,1,2
2,1,2,2
2,2,3,3
2,3,4,2
2,4,5,2
2,5,6,2
2,6,7,2
2,7,8,2
2,8,1,2
3,1,2,2
3,2,3,2
3,3,4,4
3,4,5,2
3,5,6,2
3,6,7,2
3,7,8,2
3,8,1,2
4,1,2,2
4,2,3,2
4,3,4,2
4,4,5,5
4,5,6,2
4,6,7,2
4,7,8,2
4,8,1,2
5,1,2,2
5,2,3,2
5,3,4,2
5,4,5,2
5,5,6,1
5,6,7,2
5,7,8,2
5,8,1,2
6,1,2,2
6,2,3,2
6,3,4,2
6,4,5,2
6,5,6,2
6,6,7,2
6,7,8,2
6,8,1,2
7,1,2,2
7,2,3,2
7,3,4,2
7,4,5,2
7,5,6,2
7,6,7,2
7,7,8,3
7,8,1,2
8,1,2,2
8,2,3,2
8,3,4,2
8,4,5,2
8,5,6,2
8,6,7,2
8,7,8,2
8,8,1,2
9,1,2,5
9,2,3,2
9,3,4,2
9,4,5,2
9,5,6,2
9,6,7,2
9,7,8,2
9,8,1,2
10,1,2,2
10,2,3,1
10,3,4,2
10,4,5,2
10,5,6,2
10,6,7,2
10,7,8,2
10,8,1,2
11,1,2,2
11,2,3,2
11,3,4,2
11,4,5,2
11,5,6,2
11,6,7,2
11,7,8,2
11,8,1,2
12,1,2,2
12,2,3,2
12,3,4,2
12,4,5,3
12,5,6,2
12,6,7,2
12,7,8,2
12,8,1,2
13,1,2,2
13,2,3,2
13,3,4,2
13,4,5,2
13,5,6,4
13,6,7,2
13,7,8,2
13,8,1,2
14,1,2,2
14,2,3,2
14,3,4,2
14,4,5,2
14,5,6,2
14,6,7,5
14,7,8,2
14,8,1,2
15,1,2,2
15,2,3,2
15,3,4,2
15,4,5,2
15,5,6,2
15,6,7,2
15,7,8,1
15,8,1,2
16,1,2,2
16,2,3,2
16,3,4,2
16,4,5,2
16,5,6,2
16,6,7,2
16,7,8,2
16,8,1,2
17,1,2,3
17,2,3,2
17,3,4,2
17,4,5,2
17,5,6,2
17,6,7,2
17,7,8,2
17,8,1,2
18,1,2,2
18,2,3,4
18,3,4,2
18,4,5,2
18,5,6,2
18,6,7,2
18,7,8,2
18,8,1,2
19,1,2,2
19,2,3,2
19,3,4,5
19,4,5,2
19,5,6,2
19,6,7,2
19,7,8,2
19,8,1,2
20,1,2,2
20,2,3,2
20,3,4,2
20,4,5,1
20,5,6,2
20,6,7,2
20,7,8,2
20,8,1,2
21,1,2,2
21,2,3,2
21,3,4,2
21,4,5,2
21,5,6,2
21,6,7,2
21,7,8,2
21,8,1,2
22,1,2,2
22,2,3,2
22,3,4,2
22,4,5,2
22,5,6,2
22,6,7,3
22,7,8,2
22,8,1,2
23,1,2,2
23,2,3,2
23,3,4,2
23,4,5,2
23,5,6,2
23,6,7,2
23,7,8,4
23,8,1,2
24,1,2,2
24,2,3,2
24,3,4,2
24,4,5,2
24,5,6,2
24,6,7,2
24,7,8,2
24,8,1,2
25,1,2,1
25,2,3,2
25,3,4,2
25,4,5,2
25,5,6,2
25,6,7,2
25,7,8,2
25,8,1,2
26,1,2,2
26,2,3,2
26,3,4,2
26,4,5,2
26,5,6,2
26,6,7,2
26,7,8,2
26,8,1,2
27,1,2,2
27,2,3,2
27,3,4,3
27,4,5,2
27,5,6,2
27,6,7,2
27,7,8,2
27,8,1,2
28,1,2,2
28,2,3,2
28,3,4,2
28,4,5,4
28,5,6,2
28,6,7,2
28,7,8,2
28,8,1,2
29,1,2,2
29,2,3,2
29,3,4,2
29,4,5,2
29,5,6,5
29,6,7,2
29,7,8,2
29,8,1,2
30,1,2,2
30,2,3,2
30,3,4,2
30,4,5,2
30,5,6,2
30,6,7,1
30,7,8,2
30,8,1,2
31,1,2,2
31,2,3,2
31,3,4,2
31,4,5,2
31,5,6,2
31,6,7,2
31,7,8,2
31,8,1,2
32,1,2,2
32,2,3,2
32,3,4,2
32,4,5,2
32,5,6,2
32,6,7,2
32,7,8,2
32,8,1,2
33,1,2,4
33,2,3,2
33,3,4,2
33,4,5,2
33,5,6,2
33,6,7,2
33,7,8,2
33,8,1,2
34,1,2,2
34,2,3,5
34,3,4,2
34,4,5,2
34,5,6,2
34,6,7,2
34,7,8,2
34,8,1,2
35,1,2,2
35,2,3,2
35,3,4,1
35,4,5,2
35,5,6,2
35,6,7,2
35,7,8,2
35,8,1,2
36,1,2,2
36,2,3,2
36,3,4,2
36,4,5,2
36,5,6,2
36,6,7,2
36,7,8,2
36,8,1,2
37,1,2,2
37,2,3,2
37,3,4,2
37,4,5,2
37,5,6,3
37,6,7,2
37,7,8,2
37,8,1,2
38,1,2,2
38,2,3,2
38,3,4,2
38,4,5,2
38,5,6,2
38,6,7,4
38,7,8,2
38,8,1,2
39,1,2,2
39,2,3,2
39,3,4,2
39,4,5,2
39,5,6,2
39,6,7,2
39,7,8,5
39,8,1,2
40,1,2,2
40,2,3,2
40,3,4,2
40,4,5,2
40,5,6,2
40,6,7,2
40,7,8,2
40,8,1,2
41,1,2,2
41,2,3,2
41,3,4,2
41,4,5,2
41,5,6,2
41,6,7,2
41,7,8,2
41,8,1,2
42,1,2,2
42,2,3,3
42,3,4,2
42,4,5,2
42,5,6,2
42,6,7,2
42,7,8,2
42,8,1,2
43,1,2,2
43,2,3,2
43,3,4,4
43,4,5,2
43,5,6,2
43,6,7,2
43,7,8,2
43,8,1,2
44,1,2,2
44,2,3,2
44,3,4,2
44,4,5,5
44,5,6,2
44,6,7,2
44,7,8,2
44,8,1,2
45,1,2,2
45,2,3,2
45,3,4,2
45,4,5,2
45,5,6,1
45,6,7,2
45,7,8,2
45,8,1,2
46,1,2,2
46,2,3,2
46,3,4,2
46,4,5,2
46,5,6,2
46,6,7,2
46,7,8,2
46,8,1,2
47,1,2,2
47,2,3,2
47,3,4,2
47,4,5,2
47,5,6,2
47,6,7,2
47,7,8,3
47,8,1,2
48,1,2,2
48,2,3,2
48,3,4,2
48,4,5,2
48,5,6,2
48,6,7,2
48,7,8,2
48,8,1,2
49,1,2,5
49,2,3,2
49,3,4,2
49,4,5,2
49,5,6,2
49,6,7,2
49,7,8,2
49,8,1,2
50,1,2,2
50,2,3,1
50,3,4,2
50,4,5,2
50,5,6,2
50,6,7,2
50,7,8,2
50,8,1,2
