id_project,id_customer,id_freelancer,rating_for_freelancer
1,27,8,4
2,12,4,3
3,32,1,4
4,43,3,3
5,12,3,3
6,21,5,4
7,76,3,3
8,54,2,3
9,67,6,4
10,32,2,2
11,98,7,4
12,2,5,3
13,21,8,2
14,5,2,2
15,65,2,4
16,43,7,3
17,36,6,4
18,21,1,2
19,87,8,2
20,56,1,4
21,53,3,4
22,28,7,3
23,32,4,3
24,54,6,3
25,87,2,2
26,96,7,4
27,43,8,2
28,23,3,1
29,32,6,4
30,67,1,4
31,32,6,2
32,39,8,5
33,21,4,4
34,44,2,2
35,65,5,3
36,98,8,3
37,32,4,2
38,24,1,3
39,28,7,5
40,17,3,3
41,54,4,3
42,22,2,4
43,66,1,4
44,63,4,2
45,13,1,4
46,18,2,2
47,84,1,1
48,43,2,4
49,65,3,4
50,23,1,5
